ID,Home,Campaign,Start_Date,Collection_Date,Group,Type,Sequenced,qPCR_plate,Season
WH004_2,WH004,Campaign 2,27/04/2023,25/05/2023,Group 1,Indoor,Panel 1,PLATE3,Spring
WH008_2,WH008,Campaign 2,25/04/2023,25/05/2023,Group 1,Indoor,Panel 1,PLATE3,Spring
WH016_2,WH016,Campaign 2,27/04/2023,25/05/2023,Group 1,Indoor,Panel 1,PLATE3,Spring
WH013_2,WH013,Campaign 2,28/04/2023,26/05/2023,Group 1,Indoor,Panel 1,PLATE3,Spring
WH015_2,WH015,Campaign 2,28/04/2023,26/05/2023,Group 1,Indoor,Panel 1,PLATE3,Spring
WH019_2,WH019,Campaign 2,28/04/2023,26/05/2023,Group 1,Indoor,Panel 1,PLATE3,Spring
WH007_2,WH007,Campaign 2,30/04/2023,31/05/2023,Group 1,Indoor,Panel 1,PLATE3,Spring
WH006_2,WH006,Campaign 2,,,Group 1,Indoor,,,
WH010_2,WH010,Campaign 2,,,Group 1,Indoor,,,
WH021_2,WH021,Campaign 2,12/06/2023,10/07/2023,Group 2,Indoor,Panel 2,PLATE6,Summer
WH022_2,WH022,Campaign 2,06/06/2023,04/07/2023,Group 2,Indoor,Panel 1,PLATE3,Summer
WH023_2,WH023,Campaign 2,07/06/2023,05/07/2023,Group 2,Indoor,Panel 1,PLATE3,Summer
WH024_2,WH024,Campaign 2,09/09/2023,09/10/2023,Group 2,Indoor,Panel 2,PLATE6,Autumn
WH025_2,WH025,Campaign 2,12/06/2023,10/07/2023,Group 2,Indoor,Panel 2,PLATE6,Summer
WH026_2,WH026,Campaign 2,08/06/2023,04/07/2023,Group 2,Indoor,Panel 2,PLATE7,Summer
WH027_2,WH027,Campaign 2,05/06/2023,06/07/2023,Group 2,Indoor,Panel 2,PLATE7,Summer
WH028_2,WH028,Campaign 2,,,Group 2,Indoor,,,
WH029_2,WH029,Campaign 2,05/06/2023,03/07/2023,Group 2,Indoor,Panel 2,PLATE7,Summer
WH030_2,WH030,Campaign 2,05/06/2023,03/07/2023,Group 2,Indoor,Panel 2,PLATE7,Summer
WH031_2,WH031,Campaign 2,02/06/2023,27/06/2023,Group 2,Indoor,Panel 2,PLATE7,Summer
WH035_2,WH035,Campaign 2,29/06/2023,20/07/2023,Group 3,Indoor,Panel 2,PLATE7,Summer
WH049_2,WH049,Campaign 2,28/06/2023,26/07/2023,Group 3,Indoor,Panel 2,PLATE7,Summer
WH034_2,WH034,Campaign 2,05/06/2023,06/07/2023,Group 2,Indoor,Panel 2,PLATE7,Summer
WH051_2,WH051,Campaign 2,10/07/2023,07/08/2023,Group 3,Indoor,Panel 2,PLATE7,Summer
WH036_2,WH036,Campaign 2,30/05/2023,27/06/2023,Group 2,Indoor,Panel 2,PLATE7,Summer
WH037_2,WH037,Campaign 2,,,Group 2,Indoor,,,
